"Step","train/loss","fresh-mountain-14 - train/loss__MIN","fresh-mountain-14 - train/loss__MAX","eval/loss","fresh-mountain-14 - eval/loss__MIN","fresh-mountain-14 - eval/loss__MAX"
"260","2.4561","2.4561","2.4561","","",""
"261","2.4102","2.4102","2.4102","","",""
"262","2.2517","2.2517","2.2517","","",""
"263","2.0741","2.0741","2.0741","","",""
"264","2.6031","2.6031","2.6031","","",""
"265","2.1463","2.1463","2.1463","","",""
"266","1.8461","1.8461","1.8461","","",""
"267","1.8767","1.8767","1.8767","","",""
"268","2.1972","2.1972","2.1972","","",""
"269","1.2481","1.2481","1.2481","","",""
"270","2.9018","2.9018","2.9018","","",""
"271","2.5464","2.5464","2.5464","","",""
"272","2.3306","2.3306","2.3306","","",""
"273","1.5608","1.5608","1.5608","","",""
"274","2.2384","2.2384","2.2384","","",""
"275","2.3471","2.3471","2.3471","","",""
"276","1.351","1.351","1.351","","",""
"277","2.221","2.221","2.221","","",""
"278","1.7422","1.7422","1.7422","","",""
"279","1.5406","1.5406","1.5406","","",""
"280","1.998","1.998","1.998","","",""
"281","2.2925","2.2925","2.2925","","",""
"282","2.8281","2.8281","2.8281","","",""
"283","1.9365","1.9365","1.9365","","",""
"284","1.4863","1.4863","1.4863","","",""
"285","2.3156","2.3156","2.3156","","",""
"286","2.0878","2.0878","2.0878","","",""
"287","2.2874","2.2874","2.2874","","",""
"288","1.1687","1.1687","1.1687","","",""
"289","1.7712","1.7712","1.7712","","",""
"290","1.6523","1.6523","1.6523","","",""
"291","2.1256","2.1256","2.1256","","",""
"292","1.8788","1.8788","1.8788","","",""
"293","1.8414","1.8414","1.8414","","",""
"294","1.9839","1.9839","1.9839","","",""
"295","2.303","2.303","2.303","","",""
"296","2.7048","2.7048","2.7048","","",""
"297","1.3617","1.3617","1.3617","","",""
"298","2.0922","2.0922","2.0922","","",""
"299","2.4873","2.4873","2.4873","","",""
"300","2.2326","2.2326","2.2326","","",""
"301","1.5983","1.5983","1.5983","","",""
"302","1.5903","1.5903","1.5903","","",""
"303","1.755","1.755","1.755","","",""
"304","1.8173","1.8173","1.8173","","",""
"305","2.1375","2.1375","2.1375","","",""
"306","2.2726","2.2726","2.2726","","",""
"307","2.1931","2.1931","2.1931","","",""
"308","2.2549","2.2549","2.2549","","",""
"309","1.6579","1.6579","1.6579","","",""
"310","2.4034","2.4034","2.4034","","",""
"311","2.9514","2.9514","2.9514","","",""
"312","2.5337","2.5337","2.5337","","",""
"313","1.0804","1.0804","1.0804","","",""
"314","2.5684","2.5684","2.5684","","",""
"315","1.579","1.579","1.579","","",""
"316","1.6819","1.6819","1.6819","","",""
"317","2.1991","2.1991","2.1991","","",""
"318","1.6195","1.6195","1.6195","","",""
"319","1.6955","1.6955","1.6955","","",""
"320","2.5856","2.5856","2.5856","","",""
"321","2.4945","2.4945","2.4945","","",""
"322","2.2103","2.2103","2.2103","","",""
"323","2.3109","2.3109","2.3109","","",""
"324","1.7768","1.7768","1.7768","","",""
"325","1.6954","1.6954","1.6954","","",""
"326","1.7728","1.7728","1.7728","","",""
"327","2.1588","2.1588","2.1588","","",""
"328","0.9783","0.9783","0.9783","","",""
"329","1.714","1.714","1.714","","",""
"330","2.472","2.472","2.472","","",""
"331","1.1499","1.1499","1.1499","","",""
"332","1.6587","1.6587","1.6587","","",""
"333","1.8419","1.8419","1.8419","","",""
"334","2.1783","2.1783","2.1783","","",""
"335","2.4592","2.4592","2.4592","","",""
"336","1.4529","1.4529","1.4529","","",""
"337","2.0453","2.0453","2.0453","","",""
"338","1.6367","1.6367","1.6367","","",""
"339","1.6837","1.6837","1.6837","","",""
"340","0.7956","0.7956","0.7956","","",""
"341","1.0516","1.0516","1.0516","","",""
"342","2.1131","2.1131","2.1131","","",""
"343","1.1884","1.1884","1.1884","","",""
"344","2.0411","2.0411","2.0411","","",""
"345","1.6907","1.6907","1.6907","","",""
"346","1.5193","1.5193","1.5193","","",""
"347","1.4112","1.4112","1.4112","","",""
"348","1.5369","1.5369","1.5369","","",""
"349","2.4965","2.4965","2.4965","","",""
"350","2.3032","2.3032","2.3032","","",""
"351","2.126","2.126","2.126","","",""
"352","1.6446","1.6446","1.6446","","",""
"353","1.5888","1.5888","1.5888","","",""
"354","1.0946","1.0946","1.0946","","",""
"355","2.7781","2.7781","2.7781","","",""
"356","1.6912","1.6912","1.6912","","",""
"357","1.4992","1.4992","1.4992","","",""
"358","1.7281","1.7281","1.7281","","",""
"359","2.0838","2.0838","2.0838","","",""
"360","1.3707","1.3707","1.3707","","",""
"361","1.2746","1.2746","1.2746","","",""
"362","2.0872","2.0872","2.0872","","",""
"363","1.9522","1.9522","1.9522","","",""
"364","0.3409","0.3409","0.3409","","",""
"365","1.6813","1.6813","1.6813","","",""
"366","3.1251","3.1251","3.1251","","",""
"367","1.4362","1.4362","1.4362","","",""
"368","2.0231","2.0231","2.0231","","",""
"369","1.0635","1.0635","1.0635","","",""
"370","2.7674","2.7674","2.7674","","",""
"371","2.1564","2.1564","2.1564","","",""
"372","0.241","0.241","0.241","","",""
"373","2.3571","2.3571","2.3571","","",""
"374","1.4767","1.4767","1.4767","","",""
"375","1.9325","1.9325","1.9325","","",""
"376","2.5074","2.5074","2.5074","","",""
"377","2.2993","2.2993","2.2993","","",""
"378","2.858","2.858","2.858","","",""
"379","1.7871","1.7871","1.7871","","",""
"380","1.6284","1.6284","1.6284","","",""
"381","0.6175","0.6175","0.6175","","",""
"382","1.0921","1.0921","1.0921","","",""
"383","2.3332","2.3332","2.3332","","",""
"384","1.9761","1.9761","1.9761","","",""
"385","2.4872","2.4872","2.4872","","",""
"386","1.1306","1.1306","1.1306","","",""
"387","2.6518","2.6518","2.6518","","",""
"388","1.931","1.931","1.931","","",""
"389","1.3114","1.3114","1.3114","","",""
"390","2.2712","2.2712","2.2712","","",""
"391","1.6807","1.6807","1.6807","","",""
"392","3.157","3.157","3.157","","",""
