"Step","train/loss","good-gorge-19 - train/loss__MIN","good-gorge-19 - train/loss__MAX","eval/loss","good-gorge-19 - eval/loss__MIN","good-gorge-19 - eval/loss__MAX"
"320","1.6441","1.6441","1.6441","","",""
"321","2.0429","2.0429","2.0429","","",""
"322","1.2184","1.2184","1.2184","","",""
"323","1.6149","1.6149","1.6149","","",""
"324","0.6437","0.6437","0.6437","","",""
"325","0.7601","0.7601","0.7601","","",""
"326","0.7461","0.7461","0.7461","","",""
"327","1.5989","1.5989","1.5989","","",""
"328","1.5001","1.5001","1.5001","","",""
"329","1.5211","1.5211","1.5211","","",""
"330","1.4779","1.4779","1.4779","","",""
"331","0.9782","0.9782","0.9782","","",""
"332","1.0762","1.0762","1.0762","","",""
"333","0.7683","0.7683","0.7683","","",""
"334","1.6073","1.6073","1.6073","","",""
"335","1.8629","1.8629","1.8629","","",""
"336","1.9676","1.9676","1.9676","","",""
"337","1.8184","1.8184","1.8184","","",""
"338","1.5337","1.5337","1.5337","","",""
"339","0.9461","0.9461","0.9461","","",""
"340","1.6406","1.6406","1.6406","","",""
"341","1.7828","1.7828","1.7828","","",""
"342","1.921","1.921","1.921","","",""
"343","1.7491","1.7491","1.7491","","",""
"344","1.6157","1.6157","1.6157","","",""
"345","1.6744","1.6744","1.6744","","",""
"346","0.7571","0.7571","0.7571","","",""
"347","1.1792","1.1792","1.1792","","",""
"348","0.7409","0.7409","0.7409","","",""
"349","0.8226","0.8226","0.8226","","",""
"350","1.4087","1.4087","1.4087","","",""
"351","1.7263","1.7263","1.7263","","",""
"352","1.7472","1.7472","1.7472","","",""
"353","1.4008","1.4008","1.4008","","",""
"354","1.6927","1.6927","1.6927","","",""
"355","1.6717","1.6717","1.6717","","",""
"356","1.904","1.904","1.904","","",""
"357","0.6878","0.6878","0.6878","","",""
"358","1.6924","1.6924","1.6924","","",""
"359","1.1899","1.1899","1.1899","","",""
"360","1.4631","1.4631","1.4631","","",""
"361","2.0232","2.0232","2.0232","","",""
"362","1.3623","1.3623","1.3623","","",""
"363","1.1116","1.1116","1.1116","","",""
"364","1.2505","1.2505","1.2505","","",""
"365","1.5017","1.5017","1.5017","","",""
"366","0.7444","0.7444","0.7444","","",""
"367","0.6857","0.6857","0.6857","","",""
"368","1.2151","1.2151","1.2151","","",""
"369","1.7758","1.7758","1.7758","","",""
"370","1.548","1.548","1.548","","",""
"371","1.9352","1.9352","1.9352","","",""
"372","1.8413","1.8413","1.8413","","",""
"373","1.6846","1.6846","1.6846","","",""
"374","0.6476","0.6476","0.6476","","",""
"375","1.7913","1.7913","1.7913","","",""
"376","1.5708","1.5708","1.5708","","",""
"377","1.6862","1.6862","1.6862","","",""
"378","0.7063","0.7063","0.7063","","",""
"379","0.5894","0.5894","0.5894","","",""
"380","1.7342","1.7342","1.7342","","",""
"381","1.5883","1.5883","1.5883","","",""
"382","1.6125","1.6125","1.6125","","",""
"383","0.9834","0.9834","0.9834","","",""
"384","1.6755","1.6755","1.6755","","",""
"385","1.9457","1.9457","1.9457","","",""
"386","1.7907","1.7907","1.7907","","",""
"387","0.8612","0.8612","0.8612","","",""
"388","0.9501","0.9501","0.9501","","",""
"389","1.1265","1.1265","1.1265","","",""
"390","0.7216","0.7216","0.7216","","",""
"391","1.488","1.488","1.488","","",""
"392","1.2069","1.2069","1.2069","","",""
"393","1.7553","1.7553","1.7553","","",""
"394","1.6784","1.6784","1.6784","","",""
"395","0.6801","0.6801","0.6801","","",""
"396","1.6475","1.6475","1.6475","","",""
"397","1.694","1.694","1.694","","",""
"398","1.5765","1.5765","1.5765","","",""
"399","0.7074","0.7074","0.7074","","",""
"400","1.6304","1.6304","1.6304","","",""
"401","1.7805","1.7805","1.7805","","",""
"402","1.5686","1.5686","1.5686","","",""
"403","","","","1.7115105390548706","1.7115105390548706","1.7115105390548706"
"404","0.7077","0.7077","0.7077","","",""
"405","1.4232","1.4232","1.4232","","",""
"406","1.6786","1.6786","1.6786","","",""
"407","1.7656","1.7656","1.7656","","",""
"408","2.1163","2.1163","2.1163","","",""
"409","1.5301","1.5301","1.5301","","",""
"410","1.6349","1.6349","1.6349","","",""
"411","1.7198","1.7198","1.7198","","",""
"412","0.7481","0.7481","0.7481","","",""
"413","2.1778","2.1778","2.1778","","",""
"414","1.9518","1.9518","1.9518","","",""
"415","0.9767","0.9767","0.9767","","",""
"416","1.8675","1.8675","1.8675","","",""
"417","1.3692","1.3692","1.3692","","",""
"418","0.6768","0.6768","0.6768","","",""
"419","1","1","1","","",""
"420","1.6262","1.6262","1.6262","","",""
"421","1.8866","1.8866","1.8866","","",""
"422","1.8486","1.8486","1.8486","","",""
"423","1.3822","1.3822","1.3822","","",""
"424","2.0213","2.0213","2.0213","","",""
"425","1.7349","1.7349","1.7349","","",""
"426","1.852","1.852","1.852","","",""
"427","0.944","0.944","0.944","","",""
"428","1.6936","1.6936","1.6936","","",""
"429","2.0163","2.0163","2.0163","","",""
"430","1.5284","1.5284","1.5284","","",""
"431","1.1569","1.1569","1.1569","","",""
"432","1.7611","1.7611","1.7611","","",""
"433","1.6892","1.6892","1.6892","","",""
"434","1.5387","1.5387","1.5387","","",""
"435","0.7552","0.7552","0.7552","","",""
"436","1.5162","1.5162","1.5162","","",""
"437","0.9711","0.9711","0.9711","","",""
"438","2.0207","2.0207","2.0207","","",""
"439","2.028","2.028","2.028","","",""
"440","1.6109","1.6109","1.6109","","",""
"441","1.7021","1.7021","1.7021","","",""
"442","2.0937","2.0937","2.0937","","",""
"443","1.9096","1.9096","1.9096","","",""
"444","1.8381","1.8381","1.8381","","",""
"445","1.5022","1.5022","1.5022","","",""
"446","1.2822","1.2822","1.2822","","",""
"447","2.0756","2.0756","2.0756","","",""
"448","1.7561","1.7561","1.7561","","",""
"449","0.9218","0.9218","0.9218","","",""
"450","1.9018","1.9018","1.9018","","",""
"451","1.5782","1.5782","1.5782","","",""
"452","1.5331","1.5331","1.5331","","",""
"453","1.5934","1.5934","1.5934","","",""
"454","1.3847","1.3847","1.3847","","",""
"455","1.793","1.793","1.793","","",""
"456","1.8849","1.8849","1.8849","","",""
